uql_query,natural_query
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:F_2oPs0HR4e4kCPyuMkmrA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-04-29 00:22:32"") OR ([ds6w:modified]>""2022-05-12 02:55:16"")))","""Retrieve documents from the container with the specified UID (swym:215dsi0708:DSEXT001:community:F_2oPs0HR4e4kCPyuMkmrA) that are of type Post, Idea, or Question, or are Wikitree Pages with visibility 1, and were modified before April 29th, 2022, 00:22:32 or after May 12th, 2022, 02:55:16."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:506"")","Retrieve documents with resourceUid that matches ""swym:215dsi0708:DSEXT001:community:506""."
[ds6w:resourceUid]:(33458890-52fe-4e51-a723-c77a4aa9f40e OR 7d2dc9e9-d495-4aa8-814c-671756797284 OR 6c776055-ee68-486a-8881-f0fb54eddc55 OR 1e7ecf37-d28c-4d67-b3b9-8f3a50b49a57 OR 9888556d-56be-41ef-9acf-c7dd9e36fd47 OR a920dbc5-941e-4126-a0ce-ba514b13df8b OR 9935a1b0-2b10-423b-83ff-694268539c12 OR a6cab2f9-7a5a-4bb3-9261-24c89ba1a10d OR a5b62fba-ca97-4532-bce1-93061acba5da OR e95e3cf9-28fe-42f0-a7aa-42bef87df689 OR 68343dcd-3bc6-4f92-b14a-627fd4c4781d OR 9a73925b-5548-479c-bd0d-445fafb4773b OR 9dd3460a-6852-4229-820e-f27219ef68b4 OR a6f4fa8a-30d0-4911-85ba-8217f99963f8 OR e50fd312-e00b-488f-8b78-9e11c81d008b OR b0cdc6d4-60f3-40b1-a138-96ccac0cfcae OR 8711ec06-0054-4684-8847-f1382a002b33 OR 2062fd36-9013-4cf8-9794-0480f2893e88 OR fa8be1c0-e661-4520-a0df-b129f212fe0c OR ef2f91fc-f992-4b87-8539-f859cc9ffc7e OR b4e477ca-a645-441b-a124-d4f0a4df1288 OR 07c28d8a-1627-48b1-b512-81f47e180557 OR 6cbd0f51-385f-41a5-8b9d-5293750a8301 OR 48e121e7-69bd-4ad9-bbcc-2bdc84bc8ee7 OR aae340e4-9db5-4dc7-b627-f80f509d0053 OR a1ea482c-1ebb-44da-9ce9-fd6adf609599 OR 90c39300-579c-4f9f-b4a3-333983b3bd3e OR 87705ab2-8bfa-44d9-90df-f35105904d64 OR ba6a5c32-90ff-442f-b36c-21c1f6f453f5),"""Retrieve documents with resource UIDs: 33458890-52fe-4e51-a723-c77a4aa9f40e, 7d2dc9e9-d495-4aa8-814c-671756797284, 6c776055-ee68-486a-8881-f0fb54eddc55, 1e7ecf37-d28c-4d67-b3b9-8f3a50b49a57, 9888556d-56be-41ef-9acf-c7dd9e36fd47, a920dbc5-941e-4126-a0ce-ba514b13df8b, 9935a1b0-2b10-423b-83ff-694268539c12, a6cab2f9-7a5a-4bb3-9261-24c89ba1a10d, a5b62fba-ca97-4532-bce1-93061acba5da, e95e3cf9-28fe-42f0-a7aa-42bef87df689, 68343dcd-3bc6-4f92-b14a-627fd4c4781d, 9a73925b-5548-479c-bd0d-445fafb4773b, 9dd3460a-6852-4229-820e-f27219ef68b4, a6f4fa8a-30d0-4911-85ba-8217f99963f8, e50fd312-e00b-488f-8b78-9e11c81d008b, b0cdc6d4-60f3-40b1-a138-96ccac0cfcae, 8711ec06-0054-4684-8847-f1382a002b33, 2062fd36-9013-4cf8-9794-0480f2893e88, fa8be1c0-e661-4520-a0df-b129f212fe0c, ef2f91fc-f992-4b87-8539-f859cc9ffc7e, b4e"
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:OEjuhIDfRXKZ53nG4T-SJQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-10-25 14:17:10"") OR ([ds6w:modified]>""2024-05-13 11:05:29"")))","""Retrieve swym:Post, swym:Idea, swym:Question, or swym:WikitreePage documents with community OEjuhIDfRXKZ53nG4T-SJQ and wiki visibility set to 1, created before October 25, 2023 2:17:10 PM or after May 13, 2024 11:05:29 AM."""
[ds6w:resourceUid]:(7d2dc9e9-d495-4aa8-814c-671756797284 OR a920dbc5-941e-4126-a0ce-ba514b13df8b),Retrieve resources with resourceUid 7d2dc9e9-d495-4aa8-814c-671756797284 or a920dbc5-941e-4126-a0ce-ba514b13df8b.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:119"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2009-10-27 11:40:33"") OR ([ds6w:modified]>""2017-07-03 13:54:48"")))","""Retrieve posts, ideas, and questions from community 119 in the DSEXT001 container, with a modified date before 2009-10-27 11:40:33 or after 2017-07-03 13:54:48, and including wiki pages with visibility set to 1."""
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:edjCpG0zQEyKWv45QnOeqg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","""Retrieve documents located in the container 'wym:215dsi0708:DSEXT001:community:edjCpG0zQEyKWv45QnOeqg' that are of type 'Post', 'Idea', 'Question', or 'WikitreePage with wiki visibility set to 1'"""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:PV4JThTlQmidQJpooiLtZQ"")","""Retrieve resources with resourceUid matching 'wym:215dsi0708:DSEXT001:community:PV4JThTlQmidQJpooiLtZQ'."""
[ds6w:resourceUid]:(e7e65c0d-c2ab-46cd-a49c-f144196699aa OR fc736f05-d408-4952-9ed8-3022a8de06c3 OR ee476acc-b41d-4b37-918d-f279c9a885da OR de0aab44-bbb8-4c5c-80a9-ddef6d6f1862 OR 9f9ba4a5-7129-497b-bdfa-1aa2e9dda49f OR d1772cd2-4093-4893-b8c2-60a2fd543134 OR 3bd6abe7-3fac-40a1-a362-0dd4f2a11c60 OR 88af2b16-5e5a-4104-9975-3b6602e74e42),"Retrieve resources with resourceUid equal to e7e65c0d-c2ab-46cd-a49c-f144196699aa, fc736f05-d408-4952-9ed8-3022a8de06c3, ee476acc-b41d-4b37-918d-f279c9a885da, de0aab44-bbb8-4c5c-80a9-ddef6d6f1862, 9f9ba4a5-7129-497b-bdfa-1aa2e9dda49f, d1772cd2-4093-4893-b8c2-60a2fd543134, 3bd6abe7-3fac-40a1-a362-0dd4f2a11c60, or 88af2b16-5e5a-4104-9975-3b6602e74e42."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:oZmuiU-MQLuzNgQchVZhFg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-04-26 11:29:17"") OR ([ds6w:modified]>""2024-05-20 10:03:44"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:oZmuiU-MQLuzNgQchVZhFg' that are of type 'Post', 'Idea', or 'Question' or are 'WikitreePage' with visibility 1, and were modified either before 2019-04-26 11:29:17 or after 2024-05-20 10:03:44."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1845"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2016-04-28 08:51:04"") OR ([ds6w:modified]>""2017-11-06 08:33:29"")))","""Retrieve posts, ideas, or questions from the community 'wym:215dsi0708:DSEXT001:1845' that are either wikitree pages with visibility set to 1 or have a type of post, idea, or question, and were modified before April 28, 2016 08:51:04 or after November 6, 2017 08:33:29."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:41"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2009-03-23 09:16:45"") OR ([ds6w:modified]>""2024-05-17 14:07:01"")))","""Find posts, ideas, or questions in the community '41' within the container 'wym:215dsi0708:DSEXT001' that are not modified before March 23, 2009, 09:16:45 or after May 17, 2024, 14:07:01."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:konwsZ_ISV6rTk78pYJsnA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-07-01 13:19:24"") OR ([ds6w:modified]>""2024-05-15 13:32:57"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:konwsZ_ISV6rTk78pYJsnA' that are either of type 'wym:Post', 'wym:Idea', or 'wym:Question' or are of type 'wym:WikitreePage' with visibility set to 1, and were modified between July 1, 2020 13:19:24 and May 15, 2024 13:32:57."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2330"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-06-01 09:26:51"") OR ([ds6w:modified]>""2024-05-15 20:21:04"")))","""Retrieve documents with container UID swym:215dsi0708:DSEXT001:community:2330 that are either posts, ideas, or questions, or are Wikitree pages with visibility level 1, and were modified before June 1, 2017 or after May 15, 2024."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1209"")","Retrieve documents with resource UID matching ""swym:215dsi0708:DSEXT001:community:1209""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:VH5QvhSDTPuqkkSyxp93Aw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-05-25 18:51:48"") OR ([ds6w:modified]>""2024-03-18 16:05:39"")))","""Retrieve documents in the container 'wym:215dsi0708:DSEXT001:community:VH5QvhSDTPuqkkSyxp93Aw' that are either a Post, Idea, or Question, or are a WikitreePage with visibility set to 1, and were modified before May 25, 2021, 18:51:48 or after March 18, 2024, 16:05:39."""
"[ds6w:modified] >= ""2024-05-21T04:54:07Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","Retrieve files and folders modified on or after May 21, 2024, 4:54:07 AM."
"[ds6w:resourceUid]:(""iam:jsr18"" BOR ""185aac14-8e17-4996-a539-1960bd3f5b1f"" BOR ""iam:bcc"" BOR ""iam:agt2"" BOR ""iam:dmy7"" BOR ""iam:uij"" BOR ""iam:h45"" BOR ""056a9852-7038-46bc-a125-7b9bc4b377f5"")","""Return resources with resourceUid either iam:jsr18 or 185aac14-8e17-4996-a539-1960bd3f5b1f or iam:bcc or iam:agt2 or iam:dmy7 or iam:uij or iam:h45 or 056a9852-7038-46bc-a125-7b9bc4b377f5."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:yhIWQJlzTBKczsCgCSmEqA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-08-11 08:43:26"") OR ([ds6w:modified]>""2024-05-21 05:51:59"")))","""Retrieve documents in the 'wym:215dsi0708:DSEXT001:community:yhIWQJlzTBKczsCgCSmEqA' container that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with wiki visibility set to 1, and were modified before '2020-08-11 08:43:26' or after '2024-05-21 05:51:59'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:7e6F0aSvTq66xr_UqxOajw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-09-15 14:32:50"") OR ([ds6w:modified]>""2024-05-20 20:04:25"")))","""Retrieve posts, ideas, or questions within the 'DSEXT001:community' community with container UID 'wym:215dsi0708:DSEXT001:community:7e6F0aSvTq66xr_UqxOajw' that are either hidden or visible, created before September 15, 2022 2:32:50 PM or after May 20, 2024 8:04:25 PM."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2250"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-04-03 17:23:45"") OR ([ds6w:modified]>""2019-08-29 20:29:03"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:2250' that are of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' and have wiki visibility set to 1, created before 2017-04-03 17:23:45 or after 2019-08-29 20:29:03."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:npM9NBvfSAK-NeANdIYamw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-05-05 16:20:27"") OR ([ds6w:modified]>""2024-05-13 12:38:51"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:npM9NBvfSAK-NeANdIYamw' that are of type 'wym:Post', 'wym:Idea', or 'wym:Question' or 'wym:WikitreePage' with visibility 1, and modified before or after the specified date range."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:665"")",Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:665.
"[ds6w:modified] >= ""2024-05-21T07:53:17Z"" AND ([ds6w:type]:DriveFile OR [ds6w:type]:DriveFolder)","Retrieve documents modified on or after May 21, 2024, 7:53:17 AM, that are either Drive Files or Drive Folders."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:ISQRLLSaTvK1zmfJBJ7jdQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-06-08 09:15:24"") OR ([ds6w:modified]>""2024-05-16 04:56:01"")))","""Retrieve documents from the community 'ISQRLLSaTvK1zmfJBJ7jdQ' that are of type 'Post', 'Idea', 'Question', or 'WikitreePage with visibility set to 1, and updated before June 8, 2018 9:15:24 AM or after May 16, 2024 4:56:01 AM."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:225"")",Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:225.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:x06UMK44Rp6v0PBwLWe89Q"")","Here is the natural language equivalent for the given UQL query:

""Retrieve documents with resourceUid matching 'wym:215dsi0708:DSEXT001:community:x06UMK44Rp6v0PBwLWe89Q'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:FoOgHH4PS96Qy5Tvt_wdTA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-03-22 14:01:47"") OR ([ds6w:modified]>""2024-05-10 14:26:57"")))","""Retrieve documents in the community 'FoOgHH4PS96Qy5Tvt_wdTA' with type 'Post', 'Idea', or 'Question', or type 'WikitreePage' with visibility set to 1, created before March 22, 2023, 14:01:47, or after May 10, 2024, 14:26:57."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2BVF4DVaRsCqwL4d5PK79w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-09-25 05:03:29"") OR ([ds6w:modified]>""2024-05-21 05:45:48"")))","""Retrieve documents from container 'wym:215dsi0708:DSEXT001:community:2BVF4DVaRsCqwL4d5PK79w' that are of type 'wym:Post', 'wym:Idea', or 'wym:Question', or 'wym:WikitreePage' with visibility '1', and were modified before '2020-09-25 05:03:29' or after '2024-05-21 05:45:48'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:MtxbpZFjSL2GxOBun9l0jQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-04-04 07:40:46"") OR ([ds6w:modified]>""2024-05-20 17:21:11"")))","""Retrieve documents with container ID swym:215dsi0708:DSEXT001:community:MtxbpZFjSL2GxOBun9l0jQ, where the type is either a post, idea, or question, or a Wikitree page with visibility set to 1, and modified date is before April 4, 2023 07:40:46 or after May 20, 2024 17:21:11."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:Vtvl2DHeSoiDo1rtL5dqtw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-07-30 16:37:49"") OR ([ds6w:modified]>""2024-05-17 18:38:42"")))","""Find posts, ideas, questions, or Wikitree pages in the 'Vtvl2DHeSoiDo1rtL5dqtw' community that are either public or have been modified after July 30, 2019, or before May 17, 2024."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:U4kLp8EoROqCcMAqygJkkg"")",Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:U4kLp8EoROqCcMAqygJkkg.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:6YZiXVPrQleHQgR7g36UCw"")","Retrieve documents with resource UID matching ""swym:215dsi0708:DSEXT001:community:6YZiXVPrQleHQgR7g36UCw""."
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:rPZXddgRSpKKnxaUGBpJEQ"")","""Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:rPZXddgRSpKKnxaUGBpJEQ."""
